timestamp	tick	event
1767469930199	0	1	1	254	323	525
1767469935074	1	1	2	320	425	702
1767469939891	2	1	3	51	201	684
1767469944803	3	1	4	63	17	780
1767469949453	4	1	5	55	361	529
1767469954306	5	1	6	418	446	683
1767469959134	6	1	7	385	129	711
1767469963861	7	1	8	282	124	605
1767470023965	8	2	1	473	339	576
1767470028674	9	2	2	52	366	585
1767470033337	10	2	3	66	234	548
1767470038132	11	2	4	151	181	643
1767470042899	12	2	5	139	160	610
1767470047555	13	2	6	444	308	532
1767470052255	14	2	7	116	271	532
1767470057023	15	2	8	268	203	601
1767470114542	16	3	1	294	208	570
1767470119313	17	3	2	422	217	641
1767470124121	18	3	3	39	438	649
1767470129009	19	3	4	25	378	737
1767470133795	20	3	5	368	309	623
1767470138624	21	3	6	196	1	703
1767470143310	22	3	7	229	348	555
1767470148210	23	3	8	324	95	755
1767470235450	24	4	1	407	432	728
1767470240217	25	4	2	274	406	645
1767470245068	26	4	3	226	123	696
1767470249689	27	4	4	424	35	502
1767470254616	28	4	5	47	75	795
1767470259374	29	4	6	83	436	636
1767470264328	30	4	7	41	264	790
1767470269229	31	4	8	173	333	774
1767470339920	32	5	1	220	147	565
1767470344555	33	5	2	76	360	501
1767470349321	34	5	3	448	357	651
1767470354224	35	5	4	10	356	754
1767470358907	36	5	5	126	386	536
1767470363859	37	5	6	227	442	788
1767470368553	38	5	7	3	23	565
1767470373440	39	5	8	260	50	753
1767470432464	40	6	1	410	430	610
1767470437275	41	6	2	462	150	687
1767470441909	42	6	3	43	68	506
1767470446542	43	6	4	131	224	505
1767470451233	44	6	5	86	325	562
1767470456097	45	6	6	223	315	726
1767470460951	46	6	7	467	182	730
1767470465687	47	6	8	236	88	617
1767470559026	48	7	1	184	87	688
1767470563772	49	7	2	27	163	616
1767470568430	50	7	3	387	244	539
1767470573266	51	7	4	94	288	674
1767470578116	52	7	5	144	168	723
1767470582846	53	7	6	277	287	603
1767470587560	54	7	7	310	290	601
1767470592434	55	7	8	252	458	757
1767470654314	56	8	1	317	6	786
1767470659186	57	8	2	169	177	741
1767470664132	58	8	3	431	74	787
1767470668886	59	8	4	36	275	625
1767470673526	60	8	5	80	210	515
1767470678438	61	8	6	389	96	793
1767470683178	62	8	7	85	349	617
1767470687993	63	8	8	379	434	698
1767470747366	64	9	1	167	72	688
1767470752182	65	9	2	347	73	687
1767470757009	66	9	3	327	44	697
1767470761845	67	9	4	395	69	718
1767470766581	68	9	5	449	166	619
1767470771503	69	9	6	326	16	791
1767470776318	70	9	7	358	284	690
1767470781099	71	9	8	178	101	655
