timestamp	tick	event
1767633259225	0	1	1	310	414	668
1767633263978	1	1	2	49	368	623
1767633268656	2	1	3	300	386	552
1767633273330	3	1	4	36	41	526
1767633278022	4	1	5	35	373	517
1767633282916	5	1	6	301	384	778
1767633287583	6	1	7	30	361	545
1767633292359	7	1	8	318	174	621
1767633335796	8	2	1	42	70	625
1767633340678	9	2	2	72	234	757
1767633345618	10	2	3	225	366	797
1767633350294	11	2	4	448	130	557
1767633354994	12	2	5	265	125	557
1767633359710	13	2	6	210	238	572
1767633364338	14	2	7	78	356	500
1767633369063	15	2	8	253	455	609
1767633435377	16	3	1	39	277	723
1767633440038	17	3	2	81	45	534
1767633444879	18	3	3	44	192	675
1767633449772	19	3	4	96	413	768
1767633454603	20	3	5	276	347	699
1767633459447	21	3	6	158	102	727
1767633464304	22	3	7	248	403	733
1767633469113	23	3	8	177	304	643
